accordion-french.aaxs           : peak:  0.2, R128:  0.1, new gain:  0.9
pad-sweep.aaxs                  : peak:  0.5, R128:  0.1, new gain:  2.0
pad-warm.aaxs                   : peak:  0.1, R128:  0.0, new gain:  3.0
piano-acoustic.aaxs             : peak:  0.1, R128:  0.0, new gain:  2.8
piano-bright.aaxs               : peak:  0.1, R128:  0.0, new gain:  1.8
piano-electric1.aaxs            : peak:  0.5, R128:  0.2, new gain:  1.2
piano-electric1-detuned.aaxs    : peak:  0.5, R128:  0.2, new gain:  1.2
piano-electric2.aaxs            : peak:  0.5, R128:  0.2, new gain:  1.3
piano-electric2-detuned.aaxs    : peak:  0.5, R128:  0.2, new gain:  1.3
piano-electric.aaxs             : peak:  0.1, R128:  0.0, new gain:  1.4
piano-honky-tonk.aaxs           : peak:  0.1, R128:  0.0, new gain:  2.0
recorder.aaxs                   : peak:  0.1, R128:  0.1, new gain:  0.7
saxophone.aaxs                  : peak:  0.1, R128:  0.0, new gain:  1.9
scratch.aaxs                    : peak:  1.0, R128:  0.9, new gain:  0.6
shakuhachi.aaxs                 : peak:  0.1, R128:  0.0, new gain:  1.5
shamisen.aaxs                   : peak:  0.1, R128:  0.0, new gain:  1.7
string-ensamble1.aaxs           : peak:  0.7, R128:  0.2, new gain:  1.6
string-ensamble2.aaxs           : peak:  0.5, R128:  0.2, new gain:  1.4
string-pizzicato.aaxs           : peak:  0.3, R128:  0.1, new gain:  1.0
strings-synth1.aaxs             : peak:  0.4, R128:  0.1, new gain:  1.7
strings-synth2.aaxs             : peak:  0.4, R128:  0.1, new gain:  1.8
string-tremolo.aaxs             : peak:  1.0, R128:  0.0, new gain: 21.0
timpani.aaxs                    : peak:  0.3, R128:  0.2, new gain:  0.9
trumpet.aaxs                    : peak:  0.5, R128:  0.2, new gain:  1.5
trumpet-muted.aaxs              : peak:  0.6, R128:  0.1, new gain:  2.5
vibraphone.aaxs                 : peak:  0.1, R128:  0.0, new gain:  1.1
viola.aaxs                      : peak:  0.1, R128:  0.0, new gain:  1.4
violin.aaxs                     : peak:  0.0, R128:  0.0, new gain:  4.7
voice-oohs.aaxs                 : peak:  0.3, R128:  0.1, new gain:  2.8
voice-synth.aaxs                : peak:  0.2, R128:  0.1, new gain:  0.9
woodblock.aaxs                  : peak:  0.7, R128:  0.5, new gain:  0.8
xylophone.aaxs                  : peak:  0.1, R128:  0.1, new gain:  0.8
